Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: US Airways Inc. (US)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"US","01/22/2015","1898","N567UW","CLT","23:53","24:00"
"US","01/22/2015","2017","N104UW","CLT","16:05","15:54"
"US","01/22/2015","2042","N545UW","CLT","09:19","09:01"
"US","01/23/2015","0425","N510UW","PHX","16:54","17:15"
"US","01/23/2015","0622","N650AW","PHX","23:09","23:27"
"US","01/23/2015","0632","N170US","PHX","05:07","05:15"
"US","01/23/2015","0698","N187US","CLT","15:16","15:06"
"US","01/23/2015","1830","N125UW","CLT","11:01","11:15"
"US","01/23/2015","1898","N560UW","CLT","23:53","23:46"
"US","01/23/2015","2017","N102UW","CLT","16:05","15:57"
"US","01/23/2015","2042","N185UW","CLT","09:19","09:16"
"US","01/24/2015","0425","N543UW","PHX","16:54","16:56"
"US","01/24/2015","0622","N664AW","PHX","23:09","23:16"
"US","01/24/2015","0630","N195UW","PHX","20:30","20:38"
"US","01/24/2015","0698","N558UW","CLT","15:16","15:05"
"US","01/24/2015","1830","N758US","CLT","11:01","10:49"
"US","01/24/2015","1898","N198UW","CLT","23:53","23:43"
"US","01/24/2015","2017","N118US","CLT","16:05","15:52"
"US","01/24/2015","2042","N197UW","CLT","09:19","09:35"
"US","01/25/2015","0425","N540UW","PHX","16:54","17:09"
"US","01/25/2015","0622","N651AW","PHX","23:09","23:53"
"US","01/25/2015","0630","N507AY","PHX","20:30","21:25"
"US","01/25/2015","0632","N558UW","PHX","05:07","05:29"
"US","01/25/2015","0698","N162UW","CLT","15:16","15:12"
"US","01/25/2015","1830","N578UW","CLT","11:01","10:48"
"US","01/25/2015","1898","N196UW","CLT","23:53","23:46"
"US","01/25/2015","2017","N127UW","CLT","16:05","15:51"
"US","01/26/2015","0425","","PHX","16:54","00:00"
"US","01/26/2015","0622","","PHX","23:09","00:00"
"US","01/26/2015","0630","","PHX","20:30","00:00"
"US","01/26/2015","0698","","CLT","15:16","00:00"
"US","01/26/2015","1830","N111US","CLT","11:01","11:49"
"US","01/26/2015","2017","N122US","CLT","16:05","16:10"
"US","01/26/2015","2042","N573UW","CLT","09:19","09:21"
"US","01/27/2015","0425","","PHX","16:54","00:00"
"US","01/27/2015","0622","","PHX","23:09","00:00"
"US","01/27/2015","0698","","CLT","15:16","00:00"
"US","01/27/2015","1830","","CLT","11:01","00:00"
"US","01/27/2015","2017","","CLT","16:05","00:00"
"US","01/27/2015","2042","","CLT","09:19","00:00"
"US","01/28/2015","0425","N546UW","PHX","16:54","16:33"
"US","01/28/2015","0622","N602AW","PHX","23:09","23:00"
"US","01/28/2015","0630","N555AY","PHX","20:30","20:09"
"US","01/28/2015","0698","N540UW","CLT","15:16","15:13"
"US","01/28/2015","1830","N119US","CLT","11:01","10:55"
"US","01/28/2015","1898","N558UW","CLT","23:53","00:23"
"US","01/28/2015","2017","N124US","CLT","16:05","16:17"
"US","01/28/2015","2042","N173US","CLT","09:19","09:12"
"US","01/29/2015","0425","N569UW","PHX","16:54","16:41"
"US","01/29/2015","0622","N677AW","PHX","23:09","23:08"
"US","01/29/2015","0630","N567UW","PHX","20:30","20:08"
"US","01/29/2015","0632","N555AY","PHX","05:07","05:26"
"US","01/29/2015","0698","N917US","CLT","15:16","15:36"
"US","01/29/2015","1830","N108UW","CLT","11:01","10:52"
"US","01/29/2015","1898","N553UW","CLT","23:53","00:31"
"US","01/29/2015","2017","N111US","CLT","16:05","15:53"
"US","01/29/2015","2042","N582UW","CLT","09:19","09:29"
"US","01/30/2015","0425","N537UW","PHX","16:54","17:19"
"US","01/30/2015","0622","N659AW","PHX","23:09","00:39"
