Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: PSA Airlines Inc. (OH)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"OH","03/07/2018","5019","","DCA","20:48","00:00"
"OH","03/07/2019","5444","N504AE","DCA","16:17","15:55"
"OH","03/07/2019","5458","N708PS","DCA","14:32","14:28"
"OH","03/08/2018","5019","N703PS","DCA","20:48","21:23"
"OH","03/08/2019","5444","N519AE","DCA","16:17","16:11"
"OH","03/08/2019","5458","N504AE","DCA","14:32","14:54"
"OH","03/09/2018","5019","N511AE","DCA","20:48","22:28"
"OH","03/09/2019","5444","N706PS","RDU","10:30","10:10"
"OH","03/09/2019","5458","N520DC","DCA","14:29","16:29"
"OH","03/10/2018","5019","N512AE","DCA","20:48","20:45"
"OH","03/10/2019","5444","N712PS","DCA","16:13","16:06"
"OH","03/10/2019","5458","N710PS","DCA","14:32","14:20"
"OH","03/11/2018","5019","N517AE","DCA","20:48","23:01"
"OH","03/11/2019","5444","N526EA","DCA","16:17","19:16"
"OH","03/11/2019","5458","N706PS","DCA","14:32","14:35"
"OH","03/12/2018","5019","N525EA","DCA","20:48","20:59"
"OH","03/12/2019","5444","N712PS","DCA","16:17","16:00"
"OH","03/12/2019","5458","N509AE","DCA","14:32","14:14"
"OH","03/13/2018","5019","N510AE","DCA","20:48","21:06"
"OH","03/13/2019","5444","N516AE","DCA","16:17","17:35"
"OH","03/13/2019","5458","N705PS","DCA","14:32","14:16"
"OH","03/14/2018","5019","N514AE","DCA","20:48","23:11"
"OH","03/14/2019","5444","N705PS","DCA","16:17","18:11"
"OH","03/14/2019","5458","N719PS","DCA","14:32","14:17"
"OH","03/15/2018","5019","N708PS","DCA","20:48","20:38"
"OH","03/15/2019","5444","N540EA","DCA","16:17","16:09"
"OH","03/15/2019","5458","N544AE","DCA","14:32","15:05"
"OH","03/16/2018","5019","N710PS","DCA","20:48","20:47"
"OH","03/16/2019","5444","N515AE","RDU","10:30","10:13"
"OH","03/16/2019","5458","N515AE","DCA","14:29","14:12"
"OH","03/17/2018","5019","N515AE","DCA","20:48","20:38"
"OH","03/17/2019","5444","N725PS","DCA","16:13","16:06"
"OH","03/17/2019","5458","N712PS","DCA","14:32","14:17"
"OH","03/18/2018","5019","N719PS","DCA","20:48","20:33"
"OH","03/18/2019","5444","N539EA","DCA","16:17","15:46"
"OH","03/18/2019","5458","N719PS","DCA","14:32","14:26"
"OH","03/19/2018","5019","N509AE","DCA","20:48","20:55"
"OH","03/19/2019","5444","N534AE","DCA","16:17","16:03"
"OH","03/19/2019","5458","N511AE","DCA","14:32","14:13"
"OH","03/20/2018","5019","N516AE","DCA","20:48","00:00"
"OH","03/20/2019","5444","N719PS","DCA","16:17","16:03"
"OH","03/20/2019","5458","N708PS","DCA","14:32","14:54"
"OH","03/21/2018","5019","","DCA","20:48","00:00"
"OH","03/21/2019","5444","N500AE","DCA","16:17","16:16"
"OH","03/21/2019","5458","N719PS","DCA","14:32","14:29"
"OH","03/22/2018","5019","N718PS","DCA","20:48","22:07"
"OH","03/22/2019","5444","N530EA","DCA","16:17","16:01"
"OH","03/22/2019","5458","N521AE","DCA","14:32","14:55"
"OH","03/23/2018","5019","N517AE","DCA","20:48","22:10"
"OH","03/23/2019","5444","N524AE","RDU","10:30","10:18"
"OH","03/23/2019","5458","N716PS","DCA","14:29","00:00"
"OH","03/24/2018","5019","N516AE","DCA","20:48","20:31"
"OH","03/24/2019","5444","N513AE","DCA","16:13","16:05"
"OH","03/24/2019","5458","N501BG","DCA","14:32","16:03"
"OH","03/25/2018","5019","N546FF","DCA","20:48","20:35"
"OH","03/25/2019","5444","N524AE","DCA","16:17","16:00"
"OH","03/25/2019","5458","N519AE","DCA","14:32","14:20"
"OH","03/26/2018","5019","N545PB","DCA","20:48","20:50"
"OH","03/26/2019","5444","N517AE","DCA","16:17","18:49"
"OH","03/26/2019","5458","N521AE","DCA","14:32","15:52"
"OH","03/27/2018","5019","N502AE","DCA","20:48","20:37"
"OH","03/27/2019","5444","N515AE","DCA","16:17","16:14"
"OH","03/27/2019","5458","N534AE","DCA","14:32","14:25"
"OH","03/28/2018","5019","N534EA","DCA","20:48","22:09"
"OH","03/28/2019","5444","N515AE","DCA","16:17","16:04"
"OH","03/28/2019","5458","N508AE","DCA","14:32","14:18"
"OH","03/29/2018","5019","N725PS","DCA","20:48","22:57"
"OH","03/29/2019","5444","N537EA","DCA","16:17","15:59"
"OH","03/29/2019","5458","N500AE","DCA","14:32","14:12"
"OH","03/30/2018","5019","N502AE","DCA","20:48","20:54"
"OH","03/30/2019","5444","N511AE","RDU","10:30","10:11"
"OH","03/30/2019","5458","N511AE","DCA","14:29","14:15"
"OH","03/31/2018","5019","N530EA","DCA","20:48","20:45"
"OH","03/31/2019","5444","N524AE","DCA","16:13","15:55"
"OH","03/31/2019","5458","N500AE","DCA","14:32","14:47"
"OH","04/01/2018","5019","N705PS","DCA","20:48","21:23"
"OH","04/01/2019","5444","N521AE","DCA","16:17","16:08"
"OH","04/01/2019","5458","N539EA","DCA","14:32","14:32"
"OH","04/02/2018","5019","N530EA","DCA","20:48","22:00"
"OH","04/02/2019","5444","N723PS","DCA","16:23","16:04"
"OH","04/02/2019","5458","N718PS","DCA","14:30","14:22"
"OH","04/03/2018","5080","N220PS","RDU","09:22","09:16"
"OH","04/03/2019","5444","N545PB","DCA","16:23","00:00"
"OH","04/03/2019","5458","N504AE","DCA","14:30","14:22"
"OH","04/04/2018","5080","N215PS","RDU","09:22","00:00"
"OH","04/04/2019","5444","N506AE","DCA","16:23","16:53"
"OH","04/04/2019","5458","N515AE","DCA","14:30","14:42"
"OH","04/05/2018","5080","N247JS","RDU","09:22","09:09"
"OH","04/05/2019","5444","N539EA","DCA","16:23","16:18"
"OH","04/05/2019","5458","N710PS","DCA","14:30","14:15"
"OH","04/06/2018","5080","N248PS","RDU","09:22","09:12"
"OH","04/06/2018","5085","N215PS","DCA","20:46","22:56"
"OH","04/06/2019","5444","N504AE","RDU","10:30","10:20"
"OH","04/06/2019","5458","N706PS","DCA","14:30","14:32"
"OH","04/07/2019","5444","N534AE","DCA","16:19","16:12"
"OH","04/07/2019","5458","N720PS","DCA","14:30","14:39"
"OH","04/08/2018","5035","N209PS","DCA","16:11","16:21"
"OH","04/08/2018","5080","N223JS","RDU","09:22","09:03"
"OH","04/08/2019","5444","N716PS","DCA","16:23","16:31"
"OH","04/08/2019","5458","N706PS","DCA","14:30","14:32"
"OH","04/09/2018","5080","N245PS","RDU","09:22","09:14"
"OH","04/09/2019","5444","N524AE","DCA","16:23","15:58"
"OH","04/09/2019","5458","N500AE","DCA","14:30","14:22"
"OH","04/10/2018","5080","N215PS","RDU","09:22","09:05"
"OH","04/10/2019","5444","N506AE","DCA","16:23","16:22"
"OH","04/10/2019","5458","N526EA","DCA","14:30","14:19"
"OH","04/11/2018","5080","N213PS","RDU","09:22","09:15"
"OH","04/11/2019","5444","N517AE","DCA","16:23","16:12"
"OH","04/11/2019","5458","N519AE","DCA","14:30","15:03"
"OH","04/12/2018","5080","N230PS","RDU","09:22","09:14"
"OH","04/12/2019","5444","N519AE","DCA","16:23","16:22"
"OH","04/12/2019","5458","N506AE","DCA","14:30","14:49"
"OH","04/13/2018","5080","N250PS","RDU","09:22","09:25"
"OH","04/13/2018","5085","N250PS","DCA","20:46","21:05"
"OH","04/13/2019","5444","N702PS","RDU","10:30","11:11"
"OH","04/13/2019","5458","N702PS","DCA","14:30","14:46"
"OH","04/14/2019","5444","N519AE","DCA","16:19","17:06"
"OH","04/14/2019","5458","N540EA","DCA","14:30","14:22"
"OH","04/15/2018","5035","N247JS","DCA","16:11","17:11"
"OH","04/15/2018","5080","N254PS","RDU","09:22","09:41"
"OH","04/15/2019","5444","N703PS","DCA","16:23","00:00"
"OH","04/15/2019","5458","N709PS","DCA","14:30","14:48"
"OH","04/16/2018","5080","N261PS","RDU","09:22","00:00"
"OH","04/16/2019","5444","N709PS","DCA","16:23","16:13"
"OH","04/16/2019","5458","N504AE","DCA","14:30","14:25"
"OH","04/17/2018","5080","N256PS","RDU","09:22","09:44"
"OH","04/17/2019","5444","N702PS","DCA","16:23","16:30"
"OH","04/17/2019","5458","N546FF","DCA","14:30","14:34"
"OH","04/18/2018","5080","N245PS","RDU","09:22","09:20"
"OH","04/18/2019","5444","N502AE","DCA","16:23","16:27"
"OH","04/18/2019","5458","N511AE","DCA","14:30","14:14"
"OH","04/19/2018","5080","N245PS","RDU","09:22","11:30"
"OH","04/19/2019","5444","N709PS","DCA","16:23","00:00"
"OH","04/19/2019","5458","N520DC","DCA","14:30","14:28"
"OH","04/20/2018","5080","N215PS","RDU","09:22","09:13"
"OH","04/20/2018","5085","N237PS","DCA","20:46","22:04"
"OH","04/20/2019","5444","N709PS","RDU","10:30","10:36"
"OH","04/20/2019","5458","N709PS","DCA","14:30","14:15"
"OH","04/21/2019","5444","N705PS","DCA","16:19","16:25"
"OH","04/21/2019","5458","N516AE","DCA","14:30","14:26"
"OH","04/22/2018","5035","N254PS","DCA","16:11","16:22"
"OH","04/22/2018","5080","N216PS","RDU","09:22","09:13"
